message_id,user_message,romanized_text,layer1_flags,selection_reason
2384,ہوں,hun,,full_coverage
2385,"""موسم کا حال.""","“Museem ka haal.""",,full_coverage
2386,"""کہہ رہا ہوں پھر کا کمہ سے ہم کا صورتحال.""","""kah raha hun phir ka kamha se hum ka sorat e haal.""",,full_coverage
2387,"""کہہ رہو پکا کا موسم.""",“k_h raho pakka ka mausam.”,,full_coverage
2388,"""منڈی کا ریٹ.""","“Mandi ka rate.""",,full_coverage
2389,"""اچھا تحصیل بشام مجھے یہ بتاؤ تمہارا کیا حل ہے.""",""" acha tehseel bsham mujhe yeh batao tumhara kya hal hai.""",,full_coverage
2390,"""تحصیل بشام میں نے پوچھا ہے تمہارا کیا حال ہے.""","""تحصیل bsham mane poocha hai tumhara kya haal hai.""",script_leakage,full_coverage
2391,"""اچھا مجھے بتاؤ کہ تم مجھے کون کون سی فصلوں کے بارے میں معلومات دے سکتے ہو.""",“Acha mujhe btao k tum mujhe kon kon si faslun k baare mein maloomat day sakte ho.”,,full_coverage
2392,"""تحصیل بشام مجھے گندم کے بارے میں بتاؤ. گندم لگانے کا صحیح وقت کون سا ہے.""",“تحصیل bsham mujhe gandum ke baare mein batao. gandum lagane ka sahi waqt kon sa hai.,script_leakage,full_coverage
2393,"""اچھا مجھے یہ بتو کہ میں سوچ رہا ہوں کہ میں جانور کا ایک شیڈ بناؤں تو اس کے لیے مجھے کیا کرنا ہوگا اور کل رقم کتنی لگے گی.""",""" accha mujhe ye bto k mein soch raha hun k main janwar ka aik sheed banaon to uss ke liye mujhe kya karna hoga aur kal raqam kitni lage gi.",,full_coverage
2394,"""بہت اچھے. اچھا اب مجھے کپاس کے بتاؤ کہ کپاس کے کون کون سے بیج اچھے ہیں. مندور شدہ اقسام کے بارے میں بتاؤ.""",“Bhat acche. accha ab mujhe cupas ke batao ke cupas ke kon kon se beej acche hain. Mandoor shuda aqsam ke baare mein batao.”,,full_coverage
2395,"""اچھا مجھے بتاؤ. نہیں میری زمین یار بارانی ہے.""",""" acha mujhe batao. nahi meri zameen yaar barani hai.""",,full_coverage
2396,"""اچھا مجھے کرا کھادوں کے بارے میں بتاؤ. میں نے کماد کی فصل کو ابھی کھاد لگانی ہے.""",“achi mujhe kara khadon ke baare mein batao. main ne kamad ki fasal ko abhi khad lagany hai.,,full_coverage
