urdu_word,roman_urdu,notes
کہہ,keh,imperative 'say'
بہت,bohat,'very/much'
کپاس,kapaas,cotton (crop)
اچھا,acha,'good/okay'
کرا,kara,'did' (dialectal) or root of 'karaya' (rent)
اے,aey,vocative 'oh' / interjection
ڈیسرٹ,dessert,loanword 'dessert'
پیلو,peelu,could be plant name 'peelu' (Salvadora) or partial word
مجھے,mujhe,'to me'
بتاؤ,batao,imperative 'tell'
فروٹوں,phalon,"'fruits' - phonetic misread; correct is پھلوں (phalon), not فروٹوں literally; if taken as written: fruiton"
سیالکنڈ,Sialkot,"place name, correct spelling سیالکوٹ; garbled here"
السلام,Assalam,part of greeting 'Assalam-o-Alaikum'
معالمہ,mamla,'matter/issue'
سب ڈویژن,sub division,administrative term 'sub-division'
گندم,gandum,wheat
موسمیاتی,mausamiyati,'climatic'
پشاور,Peshawar,city name
شیٹ,sheet,loanword 'sheet'
زرخیزہ,zarkhaiza,garbled form of زرخیز (zarkhez = fertile)
ٹماٹے,tamatay,garbled/dialectal for ٹماٹر (tamatar = tomato)
گنے,ganay,sugarcane (plural/oblique of گنا)
گنا,gana,sugarcane (noun) / 'counted' (verb past participle) - context dependent
زرخیزے,zarkhezay,garbled form of زرخیز (fertile)
بشیر,Bashir,personal name
بتو,batao,garbled imperative 'tell' (بتاؤ)
ہری پل,Haripur,garbled place name Haripur (ہری پور)
ہزارہ,Hazara,region name Hazara
مکئی,makai,maize/corn
سید,Syed,title/name Syed
بارش,barish,rain
ویل,veil,unclear - could be 'veil' loanword or garbled word - low confidence SKIP
ٹیپ,tape,loanword 'tape'
خصل,khasal,garbled form of فصل (fasal = crop)
ویٹ,wait,loanword 'wait' or 'wheat' garbled - ambiguous
آلو,aloo,potato
ریٹز,rates,garbled 'rates' (ریٹس)
سیال کورڈ,Sialkot,garbled place name Sialkot
ڈسکہ,Daska,place name Daska
اس,uss,'that/this' pronoun
بنوں,Bannu,place name Bannu
اگاہ,agah,'aware' or garbled اگانا (grow)
واسط,waastay,'for the sake of'
کاشت,kasht,cultivation
ریٹ,rate,loanword 'rate'
ایمپریشن,impression,loanword 'impression'
گھام پور,Gojra,"unclear place name garbled - low confidence, possibly 'Ghanpur' - SKIP"
مصمم,musammam,'determined/resolved'
دیسیٹ,dessert,garbled loanword 'dessert'
یور,your,garbled loanword 'your' or 'year' - ambiguous
آسان,aasan,'easy'
آل,aal,unclear short form - possibly 'all' loanword - low confidence
ریڈ,red,loanword 'red'
آرے,aray,interjection 'oh!'
مہتر,mehtar,'chief/sweeper' (traditional term)
اوے,oye,interjection 'hey'
مبیشی,مویشی,garbled form of مویشی (mawaishi = livestock)
ٹینک,tank,loanword 'tank'
کاڑا,kara,garbled form - unclear - low confidence
علم,ilm,'knowledge'
کاریٹ,carrot,garbled loanword 'carrot'
فیڈ,feed,loanword 'feed'
موسم,mausam,weather/season
اسلام آباد علیکم,Islamabad Alaikum,garbled combo of 'Islamabad' and greeting - likely ASR merge error
ضلع,zila,district
اپ بخیر,aap bakhair,greeting 'you are well'
دیہال,dehaat,garbled form of دیہات (dehaat = village) - low confidence
سو روپے آجے,so rupay aajay,garbled phrase 'hundred rupees come'
اگ,aag,'fire' (missing alif)
ٹیڑے,teday,'crooked/bent' (dialectal)
بہرے,behray,'deaf' (oblique/plural)
خمس,khums,Islamic term for one-fifth levy
اس لگے,uss lagay,'that seemed/felt'
کیاریٹ,carrot,garbled loanword 'carrot'
بشیڑ,Bashir,garbled personal name Bashir
شیخ,Sheikh,title/name
مشیر,mushir,'advisor' - also often garbled form of Bashir
اس کی عزت,uss ki izzat,'his/her honor'
پیٹ,pait,'stomach'
بنایں,banaein,'let's make' (garbled بنائیں)
کلو,kilo,loanword 'kilo'
بشیرے,Bashiray,garbled/oblique form of Bashir
اج,aaj,'today' (missing alif)
اچھے,achay,'good' (plural/oblique)
لاہور,Lahore,city name
بھروسکتا,bhar sakta,garbled 'can fill' (بھر سکتا)
ٹماٹر,tamatar,tomato
فیصلہ بعد,faisla baad,'decision after' - garbled phrase
فیصلہ بات,faisla baat,'decision matter' - garbled phrase
گرنے,girnay,'to fall'
مہر,mehar,'seal/stamp' or name Mehr
پیاز,pyaz,onion
بھینس,bhains,buffalo
بتائیں,batayein,'please tell'
تیرے,teray,'your' (informal)
چالوں,chaalon,'moves/tricks' (oblique plural)
اساں,assan,'we' (Punjabi/dialectal)
بار,baar,'time/occasion' or 'burden'
پونڈی,Pindi,garbled short form of Rawalpindi
استعمال کروں گا,istemaal karoon ga,'I will use'
بشید,Bashir,garbled personal name Bashir
