message_id,user_message,romanized_text,layer1_flags,openai_verdict,openai_issue_type,openai_reason
2384,ہوں,hun,,clean,,Simple transliteration matches.
2385,"""موسم کا حال.""","“Museem ka haal.""",,clean,,Mausam ka haal transliterated acceptably.
2386,"""کہہ رہا ہوں پھر کا کمہ سے ہم کا صورتحال.""","""kah raha hun phir ka kamha se hum ka sorat e haal.""",,clean,,All words appear transliterated in order.
2387,"""کہہ رہو پکا کا موسم.""",“k_h raho pakka ka mausam.”,,suspicious,phonetic_mismatch,'k_h' does not match 'کہہ' phonetically.
2388,"""منڈی کا ریٹ.""","“Mandi ka rate.""",,clean,,Mandi ka rate matches.
2389,"""اچھا تحصیل بشام مجھے یہ بتاؤ تمہارا کیا حل ہے.""",""" acha tehseel bsham mujhe yeh batao tumhara kya hal hai.""",,clean,,"Mostly phonetic transliteration, minor spelling variants only."
2390,"""تحصیل بشام میں نے پوچھا ہے تمہارا کیا حال ہے.""","""تحصیل bsham mane poocha hai tumhara kya haal hai.""",script_leakage,suspicious,script_leakage,Output still contains Urdu script 'تحصیل'.
2391,"""اچھا مجھے بتاؤ کہ تم مجھے کون کون سی فصلوں کے بارے میں معلومات دے سکتے ہو.""",“Acha mujhe btao k tum mujhe kon kon si faslun k baare mein maloomat day sakte ho.”,,clean,,Transliteration is consistent.
2392,"""تحصیل بشام مجھے گندم کے بارے میں بتاؤ. گندم لگانے کا صحیح وقت کون سا ہے.""",“تحصیل bsham mujhe gandum ke baare mein batao. gandum lagane ka sahi waqt kon sa hai.,script_leakage,suspicious,script_leakage,Output starts with Urdu script 'تحصیل'.
2393,"""اچھا مجھے یہ بتو کہ میں سوچ رہا ہوں کہ میں جانور کا ایک شیڈ بناؤں تو اس کے لیے مجھے کیا کرنا ہوگا اور کل رقم کتنی لگے گی.""",""" accha mujhe ye bto k mein soch raha hun k main janwar ka aik sheed banaon to uss ke liye mujhe kya karna hoga aur kal raqam kitni lage gi.",,clean,,Content preserved in order.
