message_id,user_message,romanized_text,layer1_flags,openai_verdict,openai_issue_type,openai_reason
2387,"""کہہ رہو پکا کا موسم.""",“k_h raho pakka ka mausam.”,,suspicious,phonetic_mismatch,'k_h' does not match 'کہہ' phonetically.
2394,"""بہت اچھے. اچھا اب مجھے کپاس کے بتاؤ کہ کپاس کے کون کون سے بیج اچھے ہیں. مندور شدہ اقسام کے بارے میں بتاؤ.""",“Bhat acche. accha ab mujhe cupas ke batao ke cupas ke kon kon se beej acche hain. Mandoor shuda aqsam ke baare mein batao.”,,suspicious,phonetic_mismatch,'Bhat' and 'cupas' don't match 'بہت' and 'کپاس'.
2396,"""اچھا مجھے کرا کھادوں کے بارے میں بتاؤ. میں نے کماد کی فصل کو ابھی کھاد لگانی ہے.""",“achi mujhe kara khadon ke baare mein batao. main ne kamad ki fasal ko abhi khad lagany hai.,,suspicious,phonetic_mismatch,'achi' and 'kara' don't match 'اچھا' and 'کرا'.
2397,"""اے. دو سو چھتر. ہاں.والی لازم ہے. یہ کون سی ایکٹ تھی ہے؟ یہ اگے ہے فائنل لٹے ہیں. اسے کپڑا انشاءاللہ یہاں رہا ہے. گرے. یہ ایلا سبت نہیں؟ او پچھے بھجالا کپڑا جو او بوڑیاں نے کول بھجالا. تحصیل بشام صاحب اے موسم دیکھی صورتحال ہے.""",“Y. do so chhatar. haan.wali lazim hai. ye kon si act thi? ye uge hai final lutte hain. use kapra inshaallah yahan raha hai. giray. ye Ela sabat nahi? o pche bhjala kapra jo o boriyan ne cool bhjala. Tehseel Basam sahib a mausam dekhi sorat e haal hai.,,suspicious,phonetic_mismatch,"Several words are badly garbled, e.g. 'Y' for 'اے'."
2400,"""ڈیسرٹ پیلو.""",“just palao.”,,suspicious,phonetic_mismatch,'just palao' does not match 'ڈیسرٹ پیلو'.
2403,"""مجھے یہ بتاؤ کہ تمہارے پاس یہ ساری معلومات کہاں سے آئی ہے؟""",“mghe yeh btao ke tumharay paas yeh saari maloomat kahan se aai hai?,,suspicious,phonetic_mismatch,'mghe' and 'btao' are misspelled beyond normal variation.
2406,"""اچھا یہ بتاؤ کہ تمہارے پاس کون کون سی فصلوں کا کون کون سے سبزیوں کا کون کون سی فروٹوں کا ڈیٹا ہے. تم کیا معلومات دیتے ہو؟""",“acha ye btao k tumhary paas kon kon si faslun ka kon kon se sabzion ka kon kon si fruit ka data hai. tum kya maloomat dete ho?,,suspicious,phonetic_mismatch,'fruit' and some forms don't match Urdu source well.
2409,"""ابھی آپ نے اسی گوم میں اسی طرح کے نا لمبے لمبے سوالز میں پاس گندم کی فصل لگی ہوئی ہے. ابھی بہت ساری بارشیں ہو گئی ہیں. مجھے اب سمجھ نہیں آ رہی ان بارشوں کے بعد میں دوبارہ گندم کی فصل کو پانی لگاؤں یا نہ لگاؤں. اور میں نے گندم کی کٹائی بھی کرانی ہے تو مجھے اس کے مطلق بہت ساری تیاتی تدابیر بتاؤ تاکہ جو ہے میں اپنی فصل کا جاناج ہمو محفوظ کر لوں.""",“ abhi aap ne isi gom mein isi tarha ke na lambay lambay sawals mein paas gandum ki fasal lagi hui hai. abhi bohot saari baraseen ho gayi hain. mujhe ab samaj nahi aa rahi un baarisho ke baad mein dobara gandum ki fasal ko pani lagao ya na lagao. aur maine gandum ki katai bhi karani hai to mujhe is ke mutlaq bohot saari tiyati tadabeer batao takay jo hai main apni fasal ka janaj hummo mehfooz kar lon.,,suspicious,phonetic_mismatch,Multiple garbled words like 'gandum' context mostly okay but several mismatches.
2415,"""اچھا مجھے یہ بتاؤ کہ سیالکنڈ منڈی میں کپاس کا کیا ریٹ ہے.""",""" acha mujhe yeh batao ke silknڈ manndi mein cups ka kya rate hai.""",script_leakage,suspicious,phonetic_mismatch,'silknڈ' and 'cups' are not faithful transliterations.
2420,"""تمہارے پاس یہ معلومات کہاں سے آپ کی ہے؟""","""Tumhary paas yeh maloomat kahan se aap ki hai?",,suspicious,phonetic_mismatch,'aap ki hai' does not match source wording.
2423,"""السلام علیکم تحصیل بشام کیسے ہیں آپ؟""","""slam alaikum tehseel bsham kaise hain aap?",,suspicious,phonetic_mismatch,'slam' drops the initial 'a' from 'السلام'.
2426,"""میں تو یہ ہے کہ میں کو کون چیز اتھا رہے ہیں نہیں دیتے.""",“ main to ye hai ke main ko kon cheez utha rahe hain nahi dete.”,,suspicious,phonetic_mismatch,Several words are garbled and don't match source.
2427,"""تم کون فضی فصلوں کے باہر پانی لیتے ہو.""",“Tam kon Fzi faslun ke bahar pani lete ho.”,,suspicious,phonetic_mismatch,'Fzi' does not match 'فضی' phonetically.
2443,"""السلام علیکم. کیا میں آپ سے معالمہ شیخ کے بارے میں پوچھ سکتا ہوں؟""",“Lslam alaikum. kya mein aap se malmh Sheikh ke baare mein pooch sakta hun?,,suspicious,phonetic_mismatch,'Lslam' and 'malmh' are garbled transliterations.
2445,"""السلام علیکم کیا بڑے ہیں جیسے ہی. سیرہ ایم اوڑ. تحصیل بشام مجھے یہ بتائیں کہ یہ فصل جائے کمپلیشن کے لیے کتنی دیر سب ڈویژن لیں گی کتنی مہینوں میں میں اس کو ہارویسٹ کر سکوں گا. مکئی اور گندم.""",“Lslam alaikum kya baray hain jaisay hi. Seera am oor. Tehseel bsham mujhe ye bitayen ke yeh fasal jaaye complission ke liye kitni der sab division len gi kitni mahino mein mein is ko harmist kar sakun ga. makai aur gandum.”,,suspicious,phonetic_mismatch,"Several words are badly garbled, e.g. 'sab division'."
2449,"""مجھے یہ بتاؤ کہ گندم کی فصل پر موسمیاتی تبدیلیوں کے کیا اثرات دہتی ہیں.""",“mghe yeh batao ke gandum ki fasal par mosmyati tabadiyon ke kya asraat dahti hain.”,,suspicious,phonetic_mismatch,'mghe' and 'tabadiyon' are misspelled beyond normal variation.
2453,"""پشاور تمہارا کیا حال ہے؟""","""pshwar tumhara kya haal hai?",,suspicious,phonetic_mismatch,'pshwar' drops a sound from 'پشاور'.
2456,"""اچھا یار مجھے کراچی کا موسم متوہ.""",""" acha yaar mujhe Karachi ka mausam matwa.""",,suspicious,phonetic_mismatch,'matwa' does not match 'متوہ' phonetically.
2463,"""اپ مجھے بھینس کے شیٹ کے بارے میں بتا سکتے ہیں کہ بھینس کا شیٹ بنانے کے لیے مجھے کیا کرنا چاہیے اور کیسے بنانا چاہیے.""",“ mujhe bhens ke sheet ke baare mein bata sakte hain ke bhens ka sheet bananay ke liye mujhe kya karna chahiye aur kaise banana chahiye.,,suspicious,phonetic_mismatch,'sheet' is not a faithful transliteration of 'شیٹ' here.
